founder_id,name,genome
1054,Aggresso caeruleo [Bacteria],199;92;35;142;24;220;240;1;2
1055,Aggresso virido [Bacteria],132;120;87;50;50;190;240;1;120
3105,Celer energo [Protozoa],11;140;50;50;170;34;240;231;204;107
3107,Energo rubra [Bacteria],220;120;78;89;112;220;103;1;103
3110,Senecto energo [Protozoa],20;241;152;227;63;240;240;115;1;2
1063,Rubra virido [Protozoa],210;140;244;109;126;218;240;0;1;2
5158,Aggresso rubra [Protozoa],183;228;20;206;220;240;240;84;1;2
5159,Aggresso energo [Bacteria],59;106;220;153;201;220;253;1;73
5161,Senecto caeruleo [Bacteria],184;253;185;187;23;242;240;237;2
5166,Virido senecto [Algae],33;17;42;234;190;120;0
3121,Virido rubra [Algae],101;121;50;220;97;99;0
1076,Aggresso caeruleo [Bacteria],220;69;130;69;50;220;240;45;253
3126,Celer virido [Protozoa],210;140;149;43;220;77;240;19;218;2
1095,Aggresso senecto [Bacteria],87;69;220;151;192;224;240;1;2
3156,Aggresso celer [Protozoa],36;140;167;94;165;226;23;0;180;2
5205,Celer virido [Protozoa],230;93;76;50;235;185;240;137;42;2
5208,Caeruleo energo [Protozoa],29;140;50;40;188;110;120;0;1;176
1113,Aggresso virido [Protozoa],210;118;50;46;220;240;240;98;188;106
5210,Celer senecto [Protozoa],140;15;235;50;220;23;240;0;1;2
5213,Celer virido [Bacteria],163;182;132;24;31;220;170;1;148
1120,Caeruleo aggresso [Protozoa],92;165;50;50;220;46;107;199;1;2
1121,Senecto rubra [Protozoa],70;254;50;147;220;125;240;211;1;2
5218,Energo caeruleo [Bacteria],199;10;35;142;0;188;25;228;83
5221,Virido caeruleo [Algae],44;196;190;220;19;120;164
3174,Celer rubra [Protozoa],210;86;50;86;212;201;223;233;1;2
3177,Aggresso rubra [Protozoa],11;140;7;155;126;242;240;0;124;2
3181,Caeruleo rubra [Bacteria],70;227;20;108;252;222;28;32;209
3189,Celer rubra [Protozoa],126;140;50;50;156;147;186;198;1;128
3192,Energo caeruleo [Algae],180;74;36;78;25;120;0
3194,Senecto caeruleo [Protozoa],133;140;50;50;10;96;60;183;191;2
5246,Virido caeruleo [Bacteria],237;243;220;246;40;128;240;18;101
5250,Caeruleo rubra [Bacteria],179;98;34;154;244;150;156;142;209
1155,Energo rubra [Protozoa],210;141;18;51;145;109;25;35;1;47
3203,Energo rubra [Protozoa],210;140;19;131;51;156;204;149;84;240
3204,Rubra senecto [Protozoa],210;140;243;205;220;161;240;158;99;61
3205,Aggresso rubra [Protozoa],210;232;50;87;137;240;240;0;1;167
1157,Aggresso caeruleo [Protozoa],210;100;50;229;0;240;240;56;1;192
5257,Energo caeruleo [Bacteria],175;92;175;142;87;118;161;228;83
5258,Virido senecto [Algae],136;9;50;180;50;120;203
3214,Caeruleo rubra [Protozoa],83;140;50;50;188;162;80;0;32;208
3215,Aggresso virido [Protozoa],199;135;228;50;220;240;240;130;1;2
3218,Senecto caeruleo [Protozoa],144;245;50;130;27;240;192;100;1;26
5276,Aggresso virido [Protozoa],83;140;106;12;17;240;75;0;140;29
5284,Virido energo [Bacteria],57;79;231;255;198;220;240;1;21
5288,Aggresso virido [Bacteria],173;120;101;13;50;164;240;2;2
1193,Aggresso rubra [Bacteria],130;120;13;167;106;214;240;208;38
1194,Aggresso virido [Bacteria],166;219;220;50;158;167;240;190;2
5290,Caeruleo virido [Bacteria],220;120;208;50;221;194;168;142;2
5292,Caeruleo virido [Protozoa],210;140;173;29;220;71;182;227;1;2
3246,Rubra virido [Protozoa],208;140;245;50;124;240;132;0;172;2
3247,Celer energo [Protozoa],48;140;183;50;220;161;240;158;123;2
1200,Celer rubra [Bacteria],144;133;63;175;217;220;204;49;20
1209,Aggresso virido [Bacteria],180;120;189;16;50;220;240;1;237
5320,Rubra celer [Bacteria],161;107;220;50;113;40;156;3;184
3273,Aggresso senecto [Protozoa],167;17;220;213;34;240;240;0;96;2
3274,Aggresso senecto [Protozoa],110;71;142;200;95;233;115;106;188;31
5326,Energo celer [Bacteria],238;144;196;122;232;113;213;112;134
5327,Energo aggresso [Bacteria],220;165;220;50;217;220;5;45;215
1232,Aggresso rubra [Protozoa],210;51;50;50;112;240;180;65;1;101
5330,Celer caeruleo [Bacteria],220;120;220;171;46;245;71;1;247
3283,Caeruleo senecto [Bacteria],220;120;220;171;251;220;240;1;0
3284,Energo caeruleo [Bacteria],220;120;149;50;36;156;128;8;212
5333,Aggresso celer [Protozoa],210;140;182;237;178;240;119;0;146;2
